monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.35573369Z level=info msg="Migration successfully executed" id="create dashboard table" duration=390.901µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.357134478Z level=info msg="Executing migration" id="add index dashboard.account_id"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.357473071Z level=info msg="Migration successfully executed" id="add index dashboard.account_id" duration=342.83µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.358831732Z level=info msg="Executing migration" id="add unique index dashboard_account_id_slug"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.359187217Z level=info msg="Migration successfully executed" id="add unique index dashboard_account_id_slug" duration=351.486µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.36052889Z level=info msg="Executing migration" id="create dashboard_tag table"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.360817564Z level=info msg="Migration successfully executed" id="create dashboard_tag table" duration=288.566µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.362220335Z level=info msg="Executing migration" id="add unique index dashboard_tag.dasboard_id_term"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.362567247Z level=info msg="Migration successfully executed" id="add unique index dashboard_tag.dasboard_id_term" duration=346.706µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.363802434Z level=info msg="Executing migration" id="drop index UQE_dashboard_tag_dashboard_id_term - v1"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.364124757Z level=info msg="Migration successfully executed" id="drop index UQE_dashboard_tag_dashboard_id_term - v1" duration=321.93µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.365431198Z level=info msg="Executing migration" id="Rename table dashboard to dashboard_v1 - v1"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.367605098Z level=info msg="Migration successfully executed" id="Rename table dashboard to dashboard_v1 - v1" duration=2.173546ms
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.368965124Z level=info msg="Executing migration" id="create dashboard v2"
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.369296367Z level=info msg="Migration successfully executed" id="create dashboard v2" duration=331.175µs
monitoring-grafana-1  | logger=migrator t=2025-02-19T16:07:34.370592343Z level=info msg="Executing migration" id="create index IDX_dashboard_org_id - v2"
